   SAO	 m(phot)	 m(vis)	 dup&var	 RA(deg)	 DEC(deg)	 RAchange(deg/yr)	 DECchange(deg/yr)
 74571	 99.90	 4.60		 2	 18.43710662	 24.58350612	 0.00000462	 -0.00000889
 74637	 99.90	 4.70		 0	 19.86665287	 27.26409012	 0.00000798	 -0.00000306
 74647	 99.90	 5.60		 0	 20.28070326	 28.73834085	 0.00000924	 -0.00002000
 74872	 99.90	 6.00		 0	 25.41322149	 30.04723017	 -0.00000504	 -0.00000139
 74883	 99.90	 5.30		 0	 25.62413020	 20.26858807	 -0.00008820	 -0.00018638
 74996	 99.90	 3.60		 0	 28.27042266	 29.57888284	 0.00000336	 -0.00006500
 75012	 99.90	 2.70		 0	 28.66001863	 20.80798792	 0.00002898	 -0.00003111
 75030	 99.90	 6.00		 0	 28.96257312	 23.57738614	 0.00000294	 -0.00000222
 75048	 99.90	 6.00		 0	 29.43262328	 27.80448520	 0.00000840	 -0.00001611
 75051	 99.90	 4.80		 2	 29.48221451	 23.59609150	 -0.00002730	 -0.00000361
 75114	 99.90	 5.70		 2	 30.91394832	 25.93562855	 0.00004158	 0.00000611
 75146	 99.90	 5.10		 0	 31.64125318	 22.64833016	 0.00000546	 -0.00000972
 75149	 99.90	 6.00		 2	 31.70519472	 25.70470070	 0.00000546	 -0.00000306
 75151	 99.90	 2.20		 0	 31.79333629	 23.46239977	 0.00005796	 -0.00004139
 75171	 99.90	 5.10		 0	 32.35561149	 25.93983407	 0.00002352	 -0.00001083
 75204	 99.90	 5.40		 0	 33.20027419	 21.21093839	 0.00004830	 0.00000083
 75238	 99.90	 5.60		 0	 33.92822019	 25.04309521	 -0.00002730	 -0.00002389
 75239	 99.90	 5.80		 0	 33.94183310	 25.78303437	 0.00005460	 -0.00001750
 75276	 99.90	 5.30		 2	 34.73759155	 28.64253826	 0.00000336	 -0.00000167
 75382	 99.90	 5.40		 0	 37.04159261	 29.66935806	 -0.00000462	 -0.00002389
 75391	 99.90	 5.90		 0	 37.20197157	 29.93189945	 -0.00002226	 0.00002055
 75407	 99.90	 5.90		 2	 37.63478405	 25.23491754	 0.00001974	 -0.00002250
 75495	 99.90	 5.40		 0	 39.70408947	 21.96138274	 -0.00000252	 -0.00000472
 75510	 99.90	 5.40		 2	 40.17123932	 27.06084301	 0.00002100	 -0.00000861
 75532	 99.90	 4.60		 0	 40.86298526	 27.70716542	 0.00000252	 -0.00000306
 75578	 99.90	 4.60		 0	 41.97718976	 29.24717740	 0.00004788	 -0.00003417
 75588	 99.90	 5.90		 0	 42.19129843	 25.18808395	 0.00001848	 -0.00000111
 75596	 99.90	 3.70		 0	 42.49594879	 27.26054580	 0.00002100	 -0.00003222
 75662	 99.90	 5.90		 0	 44.52173691	 20.66875454	 0.00006972	 -0.00000861
 75673	 99.90	 4.60		 2	 44.80291605	 21.34031345	 -0.00000504	 -0.00000139
 75693	 99.90	 5.90		 0	 45.47558708	 26.46235400	 -0.00000462	 0.00000111
 75723	 99.90	 5.40		 2	 46.36116643	 25.25528677	 0.00000084	 -0.00000222
 75757	 99.90	 5.60		 0	 47.40308769	 29.07709081	 0.00000630	 -0.00000361
 75788	 99.90	 5.60		 0	 48.05935493	 27.25704847	 0.00000336	 -0.00000472
 75810	 99.90	 5.00		 0	 48.72542147	 21.04446602	 -0.00000798	 -0.00002055
 75863	 99.90	 5.90		 0	 49.98251768	 27.07112073	 -0.00000840	 -0.00002083
 75871	 99.90	 4.70		 0	 50.08504679	 29.04846869	 0.00000000	 -0.00000417
 75886	 99.90	 5.20		 0	 50.30680560	 21.14700487	 0.00000798	 -0.00000722
 75892	 99.90	 5.60		 0	 50.54965958	 27.60748218	 0.00000294	 -0.00000389
 75899	 99.90	 5.30		 0	 50.68853887	 20.74192128	 -0.00001302	 -0.00000611
 75912	 99.90	 5.70		 0	 51.07692246	 24.72412261	 0.00000378	 -0.00001278
 75915	 99.90	 5.90		 0	 51.10876002	 20.80354348	 -0.00000042	 -0.00000167
 75999	 99.90	 5.90		 2	 53.61098563	 24.46455889	 0.00000252	 -0.00000667
 76121	 99.90	 6.00		 0	 56.11714518	 20.92855776	 0.00000420	 -0.00000556
 76126	 99.90	 5.40		 0	 56.20073288	 24.28947839	 0.00000336	 -0.00001278
 76131	 99.90	 3.80		 0	 56.21886986	 24.11338376	 0.00000546	 -0.00001250
 76137	 99.90	 5.60		 0	 56.29058243	 24.83923962	 0.00000588	 -0.00001306
 76140	 99.90	 4.40		 0	 56.30200320	 24.46724492	 0.00000546	 -0.00001250
 76155	 99.90	 4.00		 0	 56.45666577	 24.36774503	 0.00000588	 -0.00001278
 76159	 99.90	 5.90		 0	 56.47670325	 24.55466456	 0.00000336	 -0.00001167
 76172	 99.90	 4.30		 0	 56.58164108	 23.94835868	 0.00000630	 -0.00001250
 76199	 99.90	 3.00		 0	 56.87116192	 24.10510051	 0.00000546	 -0.00001306
 76215	 99.90	 5.50		 0	 57.08690352	 23.42118633	 0.00000672	 -0.00001389
 76228	 99.90	 3.80		 0	 57.29058322	 24.05343631	 0.00000504	 -0.00001278
 76229	 99.90	 5.20		 0	 57.29660386	 24.13666419	 0.00000378	 -0.00001389
 76250	 99.90	 5.90		 0	 57.47932876	 22.24436096	 0.00000420	 -0.00001028
 76256	 99.90	 5.40		 2	 57.57881203	 25.57935067	 0.00001176	 -0.00003028
 76339	 99.90	 5.80		 0	 59.21692531	 22.47811637	 0.00002016	 -0.00003000
 76343	 99.90	 6.00		 0	 59.26593786	 23.17544178	 0.00000252	 -0.00000500
 76425	 99.90	 5.70		 2	 61.09024243	 24.10591411	 -0.00000126	 -0.00000389
 76430	 99.90	 4.50		 0	 61.17384273	 22.08193310	 0.00002730	 -0.00001611
 76438	 99.90	 6.00		 0	 61.33433457	 22.00876923	 0.00005082	 -0.00003778
 76455	 99.90	 5.30		 0	 61.65168856	 27.59990138	 0.00000588	 -0.00001472
 76461	 99.90	 5.30		 0	 61.75200147	 29.00126898	 -0.00002814	 0.00000139
 76485	 99.90	 5.50		 0	 62.70776818	 26.48089836	 -0.00001050	 -0.00001056
 76532	 99.90	 4.80		 0	 64.31520242	 20.57859616	 -0.00001344	 -0.00001611
 76541	 99.90	 5.60		 0	 64.59666059	 21.57931028	 0.00002814	 -0.00001000
 76548	 99.90	 5.40		 0	 64.85886909	 21.14235475	 0.00000882	 -0.00001167
 76551	 99.90	 5.30		 0	 64.90301493	 21.77358544	 0.00000882	 -0.00001111
 76558	 99.90	 5.10		 2	 65.08856910	 27.35072080	 -0.00000798	 -0.00002222
 76573	 99.90	 5.40		 2	 65.64551923	 25.62917280	 0.00000504	 -0.00000639
 76585	 99.90	 5.90		 0	 65.88494863	 20.98221012	 0.00000462	 -0.00000778
 76601	 99.90	 4.40		 0	 66.34219032	 22.29379406	 0.00002898	 -0.00001333
 76602	 99.90	 5.40		 0	 66.35419035	 22.19978311	 0.00003276	 -0.00001500
 76608	 99.90	 4.40		 0	 66.57686532	 22.81355234	 0.00003150	 -0.00001306
 76613	 99.90	 5.40		 0	 66.82288203	 22.99631104	 0.00000168	 -0.00000472
 76618	 99.90	 5.70		 0	 67.00320337	 21.62003270	 0.00002856	 -0.00001056
 76654	 99.90	 5.70		 2	 68.65835814	 28.96110463	 0.00000042	 -0.00000694
 76670	 99.90	 6.00		 0	 69.12159582	 23.34075563	 0.00003402	 -0.00001528
 76680	 99.90	 5.70		 0	 69.56586631	 20.68474350	 -0.00000504	 -0.00000167
 76707	 99.90	 5.70		 0	 70.33232942	 28.61496294	 0.00001092	 -0.00000889
 76721	 99.90	 4.30		 0	 70.56127083	 22.95690013	 -0.00000084	 -0.00000472
 76802	 99.90	 5.90		 0	 73.19641812	 27.89751811	 0.00001512	 -0.00000889
 76858	 99.90	 6.00		 2	 74.45290584	 23.94869444	 0.00000252	 -0.00000194
 76862	 99.90	 5.60		 2	 74.53928499	 25.05032823	 0.00000882	 -0.00001389
 76920	 99.90	 4.70		 0	 75.77391895	 21.58994094	 0.00001932	 -0.00001167
 76971	 99.90	 5.30		 0	 76.95168168	 20.41831288	 -0.00001470	 -0.00000944
 76972	 99.90	 6.00		 0	 76.98122740	 21.70483277	 0.00000126	 -0.00000167
 76974	 99.90	 5.50		 2	 77.02762325	 24.26520045	 0.00000000	 -0.00000111
 76990	 99.90	 6.00		 0	 77.43790243	 28.03040712	 0.00001764	 -0.00001694
 77097	 99.90	 5.10		 0	 79.81911588	 22.09649139	 0.00000294	 -0.00002250
 77124	 99.90	 5.70		 0	 80.30306199	 29.56994928	 0.00000126	 0.00000111
 77168	 99.90	 1.80		 0	 81.57301251	 28.60740734	 0.00000756	 -0.00004889
 77184	 99.90	 4.80		 2	 81.90870402	 21.93695811	 0.00000042	 -0.00000194
 77201	 99.90	 5.90		 2	 82.31883767	 25.15047269	 0.00000294	 -0.00000889
 77285	 99.90	 5.30		 0	 83.86288442	 24.03970022	 0.00000168	 -0.00000389
 77322	 99.90	 5.70		 2	 84.28688423	 26.92422920	 0.00000336	 -0.00000694
 77336	 99.90	 3.00		 0	 84.41120122	 21.14251575	 0.00000000	 -0.00000611
 77354	 99.90	 6.00		 0	 84.82675505	 29.21527166	 0.00000378	 -0.00000111
 77360	 99.90	 5.00		 0	 84.93440927	 25.89708452	 0.00000588	 -0.00000611
 77578	 99.90	 5.90		 2	 87.09339351	 20.86950756	 0.00000420	 -0.00000444
 77592	 99.90	 5.00		 0	 87.25404807	 24.56739225	 -0.00000042	 -0.00000750
 77625	 99.90	 5.60		 0	 87.74192295	 27.96787391	 -0.00000294	 0.00000333
 77675	 99.90	 4.50		 0	 88.33192302	 27.61217643	 0.00000126	 -0.00000389
 77705	 99.90	 4.60		 0	 88.59557766	 20.27616830	 -0.00005628	 -0.00002333
 77730	 99.90	 5.40		 4	 88.95537351	 20.17508247	 0.00000000	 -0.00000389
 77750	 99.90	 6.00		 0	 89.23388209	 24.24976438	 0.00000042	 0.00000000
 77775	 99.90	 4.90		 0	 89.49867349	 25.95390649	 0.00000000	 -0.00000056
 77911	 99.90	 4.70		 0	 90.98003692	 20.13835185	 0.00000042	 -0.00000167
 77915	 99.90	 4.30		 0	 91.03007448	 23.26335817	 -0.00000210	 -0.00002805
 78045	 99.90	 6.00		 0	 92.38490415	 22.19004111	 -0.00000546	 -0.00000361
 78050	 99.90	 5.80		 2	 92.43353740	 23.11345804	 0.00000210	 -0.00000028
 78079	 99.90	 5.90		 0	 92.88452925	 24.42017527	 -0.00000126	 -0.00001500
 78135	 99.90	 3.70		 4	 93.71940412	 22.50676943	 -0.00002058	 -0.00000333
 78143	 99.90	 4.50		 0	 93.84456278	 29.49800752	 -0.00002352	 -0.00007333
 78297	 99.90	 3.20		 0	 95.74010895	 22.51355554	 0.00001638	 -0.00003083
 78349	 99.90	 6.00		 0	 96.38720543	 23.32697771	 -0.00000294	 -0.00000639
 78423	 99.90	 4.10		 0	 97.24080169	 20.21207665	 -0.00000210	 -0.00000417
 78524	 99.90	 5.00		 0	 98.80036472	 28.02221554	 0.00000084	 -0.00000472
 78571	 99.90	 5.50		 0	 99.59578971	 28.98425786	 -0.00000672	 -0.00000583
 78593	 99.90	 5.80		 2	 99.88807335	 28.26307104	 -0.00000210	 -0.00000389
 78682	 99.90	 3.20		 0	 100.98304421	 25.13108953	 -0.00000168	 -0.00000389
 78692	 99.90	 5.50		 0	 101.18934061	 28.97088559	 -0.00000294	 -0.00000722
 78805	 99.90	 5.20		 2	 102.88759900	 21.76123304	 -0.00000336	 -0.00000889
 78816	 99.90	 5.80		 0	 103.00000763	 23.60168070	 -0.00001218	 -0.00000250
 78866	 99.90	 5.80		 0	 103.82772854	 25.37562284	 -0.00001302	 0.00000611
 78999	 99.90	 5.20		 0	 105.60327955	 24.21543618	 -0.00000252	 0.00000000
 79009	 99.90	 6.00		 0	 105.87679194	 29.33712722	 0.00004914	 -0.00022944
 79031	 99.90	 3.90		 4	 106.02720888	 20.57028254	 -0.00000294	 0.00000000
 79042	 99.90	 5.90		 0	 106.32650495	 22.63736661	 -0.00000168	 -0.00000361
 79141	 99.90	 5.60		 0	 107.84608869	 26.85645972	 -0.00000714	 -0.00001056
 79162	 99.90	 5.80		 0	 108.10986767	 24.12846402	 -0.00000672	 -0.00001333
 79199	 99.90	 6.00		 2	 108.67480540	 24.88491984	 0.00001470	 -0.00002555
 79221	 99.90	 5.90		 0	 108.98813894	 27.89752670	 -0.00000504	 0.00000028
 79294	 99.90	 3.50		 0	 110.03073113	 21.98233868	 -0.00000798	 -0.00000306
 79328	 99.90	 5.20		 2	 110.48682289	 20.44354881	 -0.00001974	 -0.00000750
 79352	 99.90	 5.10		 0	 110.86878534	 25.05068690	 -0.00002142	 -0.00000639
 79354	 99.90	 6.00		 0	 110.86745608	 22.94536362	 -0.00000672	 -0.00001000
 79366	 99.90	 5.70		 0	 111.13935616	 27.63795725	 0.00000378	 0.00000472
 79374	 99.90	 3.90		 0	 111.43168965	 27.79807666	 -0.00003864	 -0.00002361
 79391	 99.90	 5.90		 0	 111.73454436	 20.25732371	 -0.00000168	 -0.00000528
 79403	 99.90	 5.30		 2	 111.93486480	 21.44513268	 -0.00001722	 -0.00003361
 79427	 99.90	 5.00		 0	 112.33502784	 28.11819632	 -0.00001302	 -0.00001556
 79434	 99.90	 5.10		 2	 112.45311104	 27.91616560	 -0.00001092	 -0.00000667
 79533	 99.90	 4.20		 0	 113.98063254	 26.89570391	 -0.00001092	 -0.00002972
 79580	 99.90	 6.00		 0	 114.79978257	 24.22252252	 -0.00000378	 0.00000056
 79638	 99.90	 4.30		 0	 115.82811212	 28.88348830	 0.00002058	 -0.00006444
 79650	 99.90	 5.40		 0	 116.02861648	 25.78429545	 -0.00000630	 -0.00000444
 79653	 99.90	 3.70		 0	 116.11193718	 24.39798117	 -0.00000966	 -0.00001444
 79666	 99.90	 1.20		 0	 116.32897080	 28.02619874	 -0.00019908	 -0.00001278
 79774	 99.90	 5.00		 0	 118.37420053	 26.76577079	 -0.00001134	 -0.00000861
 79799	 99.90	 5.40		 0	 118.91619245	 19.88398199	 -0.00000588	 -0.00001083
 79861	 99.90	 5.90		 0	 120.23277201	 25.39274799	 0.00000378	 0.00000111
 79896	 99.90	 5.00		 0	 120.87952643	 27.79432092	 -0.00000840	 -0.00001139
 79959	 99.90	 5.40		 0	 121.94098555	 21.58170467	 0.00000588	 -0.00001972
 79995	 99.90	 5.80		 0	 122.61336036	 25.50732297	 -0.00002184	 -0.00009666
 80016	 99.90	 5.60		 0	 123.28709422	 29.65652151	 -0.00000252	 -0.00000556
 80104	 99.90	 5.20		 0	 125.01608609	 27.21765703	 -0.00000588	 -0.00010527
 80112	 99.90	 5.90		 0	 125.08743196	 20.74754887	 0.00001890	 -0.00001417
 80113	 99.90	 5.90		 0	 125.13384042	 24.02221411	 -0.00000714	 -0.00000583
 80181	 99.90	 5.80		 0	 126.61544964	 27.89341286	 -0.00001050	 -0.00003361
 80229	 99.90	 5.70		 0	 127.87705847	 24.08105862	 -0.00002604	 -0.00001278
 80243	 99.90	 5.50		 0	 128.17710855	 20.44114640	 -0.00001386	 -0.00001222
 80378	 99.90	 4.70		 0	 130.82151369	 21.46849963	 -0.00003150	 -0.00001083
 80416	 99.90	 4.20		 0	 131.67428433	 28.75994366	 -0.00000798	 -0.00001139
 80511	 99.90	 5.30		 0	 133.91534366	 27.92742938	 -0.00000420	 -0.00000917
 80585	 99.90	 6.00		 0	 135.45371526	 27.90273202	 -0.00001806	 -0.00002111
 80595	 99.90	 5.50		 0	 135.68446493	 24.45298628	 -0.00000126	 -0.00000111
 80650	 99.90	 5.40		 0	 137.00028245	 29.65415806	 -0.00000966	 0.00000000
 80659	 99.90	 6.00		 0	 137.19751179	 26.62911515	 -0.00003948	 -0.00010250
 80666	 99.90	 5.20		 0	 137.33977840	 22.04541620	 0.00000042	 0.00000111
 80807	 99.90	 4.60		 0	 141.16362103	 26.18234542	 -0.00001050	 -0.00001278
 80885	 99.90	 4.50		 0	 142.93004252	 22.96791926	 -0.00000798	 -0.00001056
 81004	 99.90	 3.10		 0	 146.46285628	 23.77423331	 -0.00001428	 -0.00000306
 81035	 99.90	 6.00		 0	 147.45874438	 21.17946008	 -0.00001386	 -0.00000306
 81054	 99.90	 5.30		 0	 147.97096539	 24.39528082	 0.00000168	 -0.00004972
 81064	 99.90	 4.10		 0	 148.19096522	 26.00694292	 -0.00006720	 -0.00001556
 81129	 99.90	 5.90		 0	 149.90109531	 29.64528581	 -0.00002856	 -0.00001000
 81154	 99.90	 5.60		 0	 150.70385817	 21.94914951	 -0.00000630	 -0.00000222
 81258	 99.90	 5.40		 0	 154.06010117	 29.31049098	 -0.00002394	 -0.00000639
 81260	 99.90	 5.90		 0	 154.13444706	 23.50308896	 -0.00006258	 0.00001000
 81264	 99.90	 6.00		 0	 154.17455526	 25.37131764	 -0.00003318	 0.00000806
 81265	 99.90	 3.60		 0	 154.17258028	 23.41728334	 0.00000546	 -0.00000222
 81270	 99.90	 5.90		 2	 154.31077202	 23.10619178	 -0.00012432	 -0.00002778
 81298	 99.90	 2.60		 2	 154.99316385	 19.84165414	 0.00009114	 -0.00004083
 81299	 99.90	 3.80		 2	 154.99441347	 19.84046525	 0.00009282	 -0.00004694
 81485	 99.90	 5.50		 2	 160.75772007	 26.32552590	 -0.00003276	 -0.00001750
 81490	 99.90	 5.00		 0	 160.85399936	 23.18840266	 -0.00003570	 0.00000250
 81583	 99.90	 4.50		 2	 163.90342966	 24.74973957	 -0.00002226	 -0.00000333
 81637	 99.90	 4.40		 0	 165.58240115	 20.17971254	 -0.00000336	 0.00001028
 81692	 99.90	 5.60		 2	 167.20453921	 24.65849486	 0.00000126	 0.00000139
 81727	 99.90	 2.60		 0	 168.52713540	 20.52369074	 0.00004284	 -0.00003611
 81736	 99.90	 4.90		 0	 168.80105631	 23.09551127	 -0.00000672	 -0.00000139
 81893	 99.90	 5.80		 2	 174.07480811	 27.78102658	 0.00000714	 0.00000083
 81941	 99.90	 5.40		 0	 175.19619177	 21.35287441	 -0.00001848	 -0.00001139
 81998	 99.90	 4.50		 0	 176.99638856	 20.21894355	 -0.00004494	 -0.00000083
 82123	 99.90	 5.80		 2	 181.06924389	 21.45921026	 0.00001092	 -0.00000111
 82166	 99.90	 5.80		 0	 182.69224025	 27.28136251	 -0.00000294	 -0.00000389
 82178	 99.90	 5.80		 0	 182.96309468	 25.87033713	 -0.00001428	 -0.00000778
 82182	 99.90	 5.70		 0	 183.03870279	 20.54192398	 -0.00000546	 -0.00000611
 82211	 99.90	 5.10		 0	 184.08558243	 23.94536670	 -0.00000924	 -0.00000222
 82219	 99.90	 5.70		 2	 184.37719513	 28.93723004	 -0.00001344	 0.00001028
 82250	 99.90	 5.70		 0	 185.08209963	 26.61958456	 -0.00002016	 -0.00002972
 82271	 99.90	 6.00		 0	 185.54503308	 24.77377573	 -0.00001932	 -0.00000222
 82273	 99.90	 4.80		 0	 185.62637478	 25.84612564	 -0.00000378	 -0.00000278
 82291	 99.90	 5.10		 0	 186.07722053	 26.09858182	 -0.00000504	 -0.00000306
 82310	 99.90	 5.10		 0	 186.60033749	 27.26821828	 -0.00000420	 -0.00000250
 82313	 99.90	 4.60		 0	 186.73452483	 28.26838236	 -0.00002646	 -0.00002305
 82314	 99.90	 5.00		 0	 186.74730408	 26.82564833	 -0.00000210	 -0.00000306
 82330	 99.90	 5.40		 2	 187.22796256	 25.91275664	 -0.00000798	 -0.00000556
 82333	 99.90	 5.50		 0	 187.36231720	 24.10886141	 -0.00000966	 -0.00000028
 82336	 99.90	 5.70		 0	 187.43019610	 20.89607161	 0.00000714	 -0.00000917
 82346	 99.90	 5.40		 0	 187.75241737	 24.56719515	 -0.00000378	 -0.00000250
 82390	 99.90	 4.80		 0	 188.71278837	 22.62920253	 -0.00002058	 0.00000556
 82421	 99.90	 5.50		 0	 189.78038846	 21.06254915	 -0.00002520	 -0.00000278
 82515	 99.90	 5.80		 2	 192.32275609	 27.55233784	 -0.00003024	 0.00000583
 82537	 99.90	 5.10		 0	 192.92473154	 27.54068216	 -0.00000378	 -0.00000250
 82550	 99.90	 5.10		 2	 193.32413140	 21.24487412	 -0.00001428	 -0.00000611
 82650	 99.90	 6.00		 0	 196.58843298	 21.15349076	 -0.00002184	 -0.00001194
 82651	 99.90	 5.90		 0	 196.59408693	 22.61604684	 0.00000756	 -0.00001361
 82659	 99.90	 4.90		 0	 196.79470760	 27.62468238	 0.00001008	 -0.00002028
 82706	 99.90	 4.30		 0	 197.96839602	 27.87816817	 -0.00025368	 0.00024499
 82825	 99.90	 5.80		 0	 201.27797618	 23.85439185	 -0.00000252	 -0.00000250
 82905	 99.90	 5.90		 0	 204.24623552	 24.61329478	 -0.00000840	 -0.00000083
 82942	 99.90	 5.60		 2	 205.16863144	 19.95568768	 -0.00001470	 0.00000639
 82946	 99.90	 5.80		 0	 205.25972775	 22.49575259	 -0.00000630	 -0.00000694
 82993	 99.90	 5.90		 0	 206.68054499	 25.70217052	 -0.00000630	 -0.00001694
 83015	 99.90	 5.10		 0	 207.42835774	 21.26411577	 0.00000504	 0.00000472
 83055	 99.90	 5.80		 0	 208.29303272	 28.64809080	 -0.00003822	 0.00000750
 83084	 99.90	 5.20		 0	 209.14248707	 27.49207068	 0.00000882	 -0.00001333
 83103	 99.90	 5.40		 0	 209.66218748	 21.69617709	 -0.00000336	 -0.00001250
 83203	 99.90	 4.80		 0	 212.59982164	 25.09165340	 -0.00000672	 -0.00001694
 83394	 99.90	 5.90		 2	 218.08439449	 26.67717887	 -0.00002016	 -0.00000806
 83395	 99.90	 6.00		 0	 218.13568225	 22.25997464	 -0.00003864	 0.00001000
 83416	 99.90	 4.50		 0	 218.67018674	 29.74515811	 0.00006132	 0.00003694
 83440	 99.90	 5.90		 4	 219.29893653	 26.73651211	 -0.00000168	 0.00000278
 83488	 99.90	 4.90		 4	 220.85577915	 26.52781789	 -0.00000420	 -0.00000472
 83500	 99.90	 2.70		 1	 221.24686653	 27.07421528	 -0.00001554	 0.00000583
 83551	 99.90	 5.70		 0	 222.49359220	 28.61586878	 0.00000756	 0.00000056
 83553	 99.90	 5.80		 0	 222.56613785	 23.91180855	 0.00004620	 0.00000889
 83624	 99.90	 4.90		 0	 225.52721803	 25.00817285	 -0.00000126	 -0.00001306
 83645	 99.90	 4.70		 0	 226.11151028	 26.94760989	 -0.00005502	 -0.00000194
 83671	 99.90	 5.00		 0	 226.82538959	 24.86910333	 0.00005754	 -0.00004639
 83682	 99.90	 5.70		 0	 227.09916898	 26.30116201	 0.00000168	 -0.00000389
 83685	 99.90	 5.90		 0	 227.14807266	 25.10862556	 -0.00000252	 -0.00000028
 83729	 99.90	 5.30		 0	 228.62161063	 29.16431335	 -0.00002142	 0.00000806
 83755	 99.90	 5.70		 0	 229.60222367	 20.57277663	 -0.00000336	 -0.00000528
 83768	 99.90	 5.60		 0	 230.03564920	 29.61608271	 -0.00003864	 -0.00001278
 83831	 99.90	 3.70		 0	 231.95737898	 29.10570204	 -0.00005670	 0.00002361
 83893	 99.90	 2.30		 0	 233.67208357	 26.71472596	 0.00003822	 -0.00002444
 83958	 99.90	 3.90		 0	 235.68580920	 26.29554530	 -0.00003276	 0.00001250
 84015	 99.90	 5.80		 4	 237.14349285	 28.15669910	 -0.00000084	 -0.00000417
 84019	 99.90	 4.70		 0	 237.39867230	 26.06825916	 -0.00002394	 -0.00001889
 84037	 99.90	 4.90		 0	 237.81640166	 20.97786882	 -0.00001596	 0.00000528
 84070	 99.90	 5.80		 0	 238.64438956	 20.31104597	 -0.00002352	 0.00001306
 84098	 99.90	 4.20		 0	 239.39700657	 26.87788434	 -0.00002352	 -0.00001694
 84152	 99.90	 4.90		 0	 240.36113159	 29.85104133	 -0.00000882	 -0.00000222
 84155	 99.90	 4.80		 0	 240.57403590	 22.80435808	 0.00000420	 0.00000611
 84240	 99.90	 6.00		 0	 242.90829544	 23.49476674	 -0.00000882	 -0.00000333
 84281	 99.90	 5.70		 2	 244.18659969	 29.15020483	 0.00000630	 -0.00000500
 84411	 99.90	 2.80		 0	 247.55508853	 21.48958849	 -0.00002940	 -0.00000417
 84416	 99.90	 5.30		 0	 247.64018425	 20.47929624	 -0.00002310	 -0.00001750
 84423	 99.90	 6.00		 0	 247.80593871	 22.19535529	 -0.00000336	 0.00000083
 84543	 99.90	 5.90		 0	 250.40298544	 26.91684835	 0.00000084	 -0.00001222
 84641	 99.90	 5.90		 0	 252.66244875	 29.80658265	 -0.00000126	 0.00000000
 84651	 99.90	 5.20		 0	 252.93876118	 24.65645341	 0.00000420	 0.00000167
 84687	 99.90	 5.50		 0	 253.72995716	 20.95851602	 0.00001680	 0.00000111
 84758	 99.90	 5.70		 0	 255.24228267	 22.63212748	 -0.00000336	 -0.00000583
 84776	 99.90	 6.00		 0	 255.57791631	 25.50547002	 0.00001680	 0.00002472
 84835	 99.90	 5.70		 2	 256.57526659	 22.08399976	 -0.00002982	 -0.00001167
 84951	 99.90	 3.20		 0	 258.75805895	 24.83923675	 -0.00000630	 -0.00004333
 85001	 99.90	 5.80		 0	 259.70218889	 28.82305498	 0.00001470	 -0.00000111
 85016	 99.90	 5.30		 0	 260.04113021	 25.53753390	 0.00000630	 -0.00000417
 85021	 99.90	 5.10		 0	 260.22585989	 24.49953397	 -0.00000672	 0.00000056
 85062	 99.90	 5.70		 0	 261.02758914	 22.96018604	 -0.00001260	 -0.00001111
 85095	 99.90	 5.40		 0	 261.70473096	 20.08101823	 0.00000000	 0.00000500
 85163	 99.90	 4.50		 0	 262.68473150	 26.11070389	 0.00000588	 0.00000528
 85182	 99.90	 5.60		 0	 262.95659376	 28.40754068	 0.00000210	 0.00000778
 85232	 99.90	 5.80		 2	 263.99850299	 20.99622983	 0.00000378	 -0.00000417
 85264	 99.90	 5.70		 0	 264.37967762	 24.30991122	 -0.00000336	 0.00000083
 85344	 99.90	 5.60		 0	 265.61827015	 24.56403357	 -0.00001680	 -0.00002917
 85360	 99.90	 5.70		 0	 265.83993271	 24.32775314	 -0.00003528	 0.00001972
 85397	 99.90	 3.50		 0	 266.61498674	 27.72073192	 -0.00009576	 -0.00020777
 85429	 99.90	 5.80		 0	 267.10326614	 20.56547141	 0.00000756	 0.00000222
 85437	 99.90	 5.30		 0	 267.20487451	 25.62282844	 -0.00000126	 -0.00001111
 85464	 99.90	 5.60		 0	 267.59534997	 29.32221599	 0.00000924	 0.00001389
 85468	 99.90	 5.90		 0	 267.70164972	 22.31638866	 0.00000420	 -0.00000444
 85545	 99.90	 5.50		 0	 268.85505027	 26.05003165	 0.00000126	 0.00000194
 85552	 99.90	 5.70		 0	 268.96185881	 22.46422443	 -0.00000042	 0.00000000
 85590	 99.90	 3.80		 0	 269.44139200	 29.24793542	 0.00002772	 -0.00000444
 85647	 99.90	 5.20		 2	 270.37478813	 21.59519955	 0.00000336	 0.00000889
 85648	 99.90	 5.10		 2	 270.37688401	 21.59561896	 0.00000378	 0.00000972
 85672	 99.90	 5.10		 0	 270.59631318	 20.83357679	 0.00000168	 -0.00000278
 85725	 99.90	 5.30		 0	 271.50806812	 22.21881047	 -0.00000294	 -0.00000222
 85750	 99.90	 3.80		 0	 271.88573911	 28.76252139	 0.00000042	 0.00000278
 85752	 99.90	 6.00		 2	 271.95648052	 26.09738147	 -0.00000084	 0.00000917
 85753	 99.90	 5.90		 2	 271.95652234	 26.10138989	 -0.00000210	 0.00000917
 85769	 99.90	 4.30		 2	 272.18979761	 20.81447953	 0.00000126	 -0.00000222
 85770	 99.90	 5.20		 0	 272.22034315	 20.04525419	 0.00000252	 -0.00000556
 85921	 99.90	 5.50		 0	 274.79469386	 24.44592801	 0.00000378	 0.00000028
