#Altitude [km] Electron Density [cm-3]
385	45901
390	46020
395	46159
400	46301
405	46453
410	46618
415	46786
420	46980
425	47173
430	47385
435	47591
440	47829
445	48066
450	48321
455	48575
460	48849
465	49131
470	49428
475	49732
480	50052
485	50384
490	50727
495	51086
500	51459
#Altitude [km] Electron Density [cm-3]
80	0
85	0
90	0
95	0
100	0
105	0
110	1.296e-101
115	4.1039e-25
120	6.9398e-07
125	0.45342
130	124.98
135	1933.1
140	8269.2
145	18721
150	30171
155	40139
160	47674
165	52827
170	56087
175	57945
180	58823
185	59039
190	58821
195	58341
200	57697
205	56967
210	56201
215	55433
220	54697
225	53978
230	53305
235	52653
240	52074
245	51532
250	51037
255	50587
260	50176
265	49810
270	49488
275	49198
280	48945
285	48725
290	48537
295	48384
300	48217
305	48124
310	48054
315	48006
320	47987
325	47981
330	48005
335	48054
340	48109
345	48187
350	48284
355	48399
360	48529
365	48678
370	48839
375	49013
380	49208
385	49413
390	49628
395	49862
400	50107
405	50348
410	50618
415	50903
420	51194
425	51498
430	51828
435	52148
440	52491
445	52846
450	53216
455	53579
460	53976
465	54381
470	54795
475	55225
480	55664
485	56115
490	56580
495	57059
500	57556
